customer_id,acquisition_date,total_spent,num_orders,avg_order_value,last_purchase_date,recency_days,product_category_pref,marketing_channel,is_churn
CUST_0000,2024-04-12,3899.53,3,1154.63,2025-05-13,80,Electronics,Social Media,1
CUST_0001,2024-11-26,978.07,1,852.16,2025-01-23,190,Electronics,Paid Ads,1
CUST_0002,2024-10-20,7924.76,5,1461.61,2025-04-15,108,Home Goods,Email,1
CUST_0003,2024-07-06,3593.31,10,358.11,2025-04-13,110,Apparel,Paid Ads,1
CUST_0004,2024-05-10,5834.02,4,1249.74,2024-09-02,333,Groceries,Paid Ads,1
CUST_0005,2024-08-29,4719.56,4,990.04,2025-03-03,151,Apparel,Social Media,1
CUST_0006,2024-09-20,6645.09,10,633.75,2025-04-10,113,Home Goods,Social Media,1
CUST_0007,2024-07-09,4647.43,3,1360.27,2024-09-06,329,Books,Email,1
CUST_0008,2024-08-02,6128.93,6,1007.65,2025-06-17,45,Apparel,Paid Ads,0
CUST_0009,2024-08-04,5687.24,12,471.09,2025-05-19,74,Electronics,Social Media,1
CUST_0010,2024-01-09,3646.16,3,1183.5,2025-01-15,198,Electronics,Referral,1
CUST_0011,2024-10-15,6396.88,6,1052.08,2025-05-06,87,Groceries,Referral,1
CUST_0012,2024-02-02,4644.54,5,876.89,2025-02-24,158,Home Goods,Social Media,1
CUST_0013,2024-02-04,2924.34,2,977.26,2024-09-19,316,Books,Social Media,1
CUST_0014,2024-12-24,4698.93,6,710.33,2024-10-15,290,Apparel,Email,1
CUST_0015,2024-08-09,5595.3,8,691.57,2025-05-05,88,Apparel,Social Media,1
CUST_0016,2024-07-05,6409.96,5,1108.28,2025-04-02,121,Home Goods,Paid Ads,1
CUST_0017,2024-01-28,4170.47,7,580.38,2025-01-26,187,Books,Paid Ads,1
CUST_0018,2024-08-18,4483.63,3,1138.29,2025-02-02,180,Books,Paid Ads,1
CUST_0019,2024-12-24,5254.02,8,625.17,2024-10-21,284,Electronics,Email,1
CUST_0020,2024-11-10,5429.88,13,393.31,2025-02-10,172,Electronics,Social Media,1
CUST_0021,2024-09-24,4962.9,9,497.95,2025-02-10,172,Groceries,Social Media,1
CUST_0022,2024-01-02,3681.64,3,1001.18,2024-10-21,284,Home Goods,Referral,1
CUST_0023,2024-02-22,5679.64,5,997.79,2024-11-12,262,Apparel,Social Media,1
CUST_0024,2024-10-20,7805.59,13,579.44,2025-07-21,11,Books,Referral,0
CUST_0025,2024-07-19,3018.93,3,830.11,2025-01-06,207,Apparel,Social Media,1
CUST_0026,2024-12-11,1898.67,1,1020.57,2025-01-26,187,Home Goods,Paid Ads,1
CUST_0027,2024-09-23,3433.49,3,903.38,2024-08-09,357,Apparel,Referral,1
CUST_0028,2024-12-11,5026.07,4,1113.33,2024-08-03,363,Groceries,Email,1
CUST_0029,2024-06-08,2119.92,1,1357.22,2024-08-03,363,Books,Paid Ads,1
CUST_0030,2024-02-23,6235.28,4,1365.12,2025-02-19,163,Home Goods,Social Media,1
CUST_0031,2024-04-08,4714.02,11,419.63,2024-12-16,228,Electronics,Social Media,1
CUST_0032,2024-10-03,4074.95,6,666.25,2024-11-20,254,Home Goods,Email,1
CUST_0033,2024-01-22,6757.35,7,928.12,2024-10-20,285,Apparel,Referral,1
CUST_0034,2024-11-12,10567.88,10,990.64,2025-07-15,17,Groceries,Email,0
CUST_0035,2024-02-15,4553.07,3,1214.2,2024-08-27,339,Apparel,Email,1
CUST_0036,2024-04-04,3306.41,6,545.55,2024-09-20,315,Apparel,Email,1
CUST_0037,2024-08-10,2704.56,1,1416.88,2024-09-03,332,Books,Social Media,1
CUST_0038,2024-09-02,2244.66,3,718.65,2025-05-21,72,Electronics,Social Media,1
CUST_0039,2024-02-05,6141.78,4,1340.67,2025-01-12,201,Groceries,Email,1
CUST_0040,2024-04-01,1878.89,1,1600.1,2025-04-13,110,Apparel,Email,1
CUST_0041,2024-05-04,5299.67,5,1042.27,2024-12-15,229,Books,Email,1
CUST_0042,2024-04-10,8120.76,7,1038.57,2025-05-29,64,Apparel,Paid Ads,1
CUST_0043,2024-12-15,9287.89,7,1190.18,2025-07-19,13,Groceries,Referral,0
CUST_0044,2024-05-26,3676.43,2,1255.73,2024-10-17,288,Electronics,Social Media,1
CUST_0045,2024-05-06,3456.36,2,1498.39,2025-06-02,60,Apparel,Social Media,1
CUST_0046,2024-04-27,6890.76,4,1379.92,2024-09-04,331,Home Goods,Referral,1
CUST_0047,2024-03-09,2346.34,1,1553.11,2025-01-10,203,Electronics,Social Media,1
CUST_0048,2024-10-11,4525.22,2,1561.6,2025-04-25,98,Apparel,Email,1
CUST_0049,2024-12-22,8264.82,14,570.96,2025-06-28,34,Apparel,Social Media,0
CUST_0050,2024-05-26,7326.33,7,1003.07,2025-07-28,4,Home Goods,Paid Ads,0
CUST_0051,2024-09-14,5139.6,5,884.41,2025-07-08,24,Home Goods,Email,0
CUST_0052,2024-02-02,9266.07,22,414.37,2025-07-29,3,Books,Referral,0
CUST_0053,2024-02-12,5561.98,6,813.19,2024-09-12,323,Apparel,Referral,1
CUST_0054,2024-04-24,3755.53,4,893.35,2025-03-20,134,Groceries,Referral,1
CUST_0055,2024-10-03,5101.49,4,1148.38,2024-11-23,251,Home Goods,Referral,1
CUST_0056,2024-02-05,7555.33,9,822.53,2024-11-25,249,Home Goods,Social Media,1
CUST_0057,2024-07-01,6650.83,5,1244.05,2024-09-03,332,Home Goods,Email,1
CUST_0058,2024-08-04,6363.91,7,906.92,2024-10-13,292,Books,Email,1
CUST_0059,2024-10-10,8824.64,6,1319.57,2025-02-24,158,Home Goods,Email,1
CUST_0060,2024-02-22,6248.24,5,1188.5,2025-04-22,101,Groceries,Paid Ads,1
CUST_0061,2024-05-01,6950.24,7,955.88,2025-01-08,205,Groceries,Referral,1
CUST_0062,2024-09-09,4483.16,3,1355.04,2024-08-24,342,Books,Social Media,1
CUST_0063,2024-06-13,5891.01,10,561.47,2025-07-10,22,Books,Paid Ads,0
CUST_0064,2024-08-04,1513.43,1,1320.84,2024-09-01,334,Books,Email,1
CUST_0065,2024-03-31,3416.56,5,648.41,2024-12-12,232,Electronics,Email,1
CUST_0066,2024-02-27,6703.89,5,1230.5,2025-06-23,39,Books,Email,0
CUST_0067,2024-07-08,3901.48,14,262.24,2025-02-06,176,Groceries,Social Media,1
CUST_0068,2024-06-08,1206.51,1,1179.73,2024-11-02,272,Groceries,Social Media,1
CUST_0069,2024-08-14,4056.16,3,1065.16,2024-08-02,364,Home Goods,Email,1
CUST_0070,2024-02-23,6744.64,6,1055.0,2025-05-22,71,Groceries,Social Media,1
CUST_0071,2024-12-23,9379.61,12,757.51,2024-12-21,223,Apparel,Email,1
CUST_0072,2024-06-26,3403.53,5,598.65,2025-01-09,204,Apparel,Email,1
CUST_0073,2024-08-07,3707.4,4,878.93,2025-03-13,141,Apparel,Email,1
CUST_0074,2024-01-10,7358.88,8,859.25,2025-06-13,49,Apparel,Referral,0
CUST_0075,2024-08-04,4770.92,3,1371.34,2025-05-28,65,Home Goods,Email,1
CUST_0076,2024-05-12,5010.49,4,1014.09,2024-12-20,224,Books,Email,1
CUST_0077,2024-03-25,2864.76,2,957.29,2024-11-10,264,Apparel,Paid Ads,1
CUST_0078,2024-10-14,4996.73,5,872.19,2024-09-17,318,Home Goods,Paid Ads,1
CUST_0079,2024-02-23,5827.43,4,1402.63,2024-11-08,266,Books,Referral,1
CUST_0080,2024-03-15,4132.7,4,897.31,2024-08-13,353,Home Goods,Referral,1
CUST_0081,2024-11-30,6772.13,7,958.88,2024-12-19,225,Apparel,Paid Ads,1
CUST_0082,2024-01-30,6963.09,6,1099.21,2025-07-28,4,Apparel,Paid Ads,0
CUST_0083,2024-09-29,4437.23,8,500.59,2025-06-09,53,Apparel,Social Media,0
CUST_0084,2024-02-12,4754.18,4,977.41,2024-12-02,242,Home Goods,Email,1
CUST_0085,2024-01-08,6120.45,8,726.36,2024-11-20,254,Home Goods,Paid Ads,1
CUST_0086,2024-03-01,3939.48,5,762.14,2025-06-02,60,Home Goods,Email,1
CUST_0087,2024-02-15,5114.95,16,315.16,2025-03-22,132,Electronics,Email,1
CUST_0088,2024-08-01,6702.71,8,813.89,2025-06-10,52,Apparel,Email,0
CUST_0089,2024-08-01,6537.45,8,765.9,2024-12-31,213,Electronics,Social Media,1
CUST_0090,2024-01-07,6733.7,5,1141.31,2024-09-02,333,Apparel,Email,1
CUST_0091,2024-01-15,5587.33,6,853.37,2025-04-25,98,Apparel,Social Media,1
CUST_0092,2024-05-05,8374.28,6,1264.49,2025-06-17,45,Apparel,Email,0
CUST_0093,2024-02-03,9168.95,6,1417.27,2025-06-20,42,Apparel,Email,0
CUST_0094,2024-10-08,2169.59,1,1178.62,2024-10-17,288,Groceries,Social Media,1
CUST_0095,2024-10-03,4083.78,5,812.2,2025-02-28,154,Electronics,Paid Ads,1
CUST_0096,2024-08-30,6594.97,6,1043.56,2025-02-05,177,Apparel,Social Media,1
CUST_0097,2024-03-02,5198.66,4,1225.42,2024-12-12,232,Books,Social Media,1
CUST_0098,2024-04-27,3180.61,2,1191.59,2025-01-14,199,Electronics,Referral,1
CUST_0099,2024-11-15,5025.9,6,737.29,2025-07-19,13,Home Goods,Social Media,0
CUST_0100,2024-06-26,9134.09,21,416.52,2025-07-30,2,Apparel,Paid Ads,0
CUST_0101,2024-11-16,4856.65,7,692.85,2025-03-01,153,Electronics,Paid Ads,1
CUST_0102,2024-08-23,6367.92,6,956.64,2025-06-28,34,Electronics,Social Media,0
CUST_0103,2024-10-22,6158.61,5,1149.19,2024-08-21,345,Books,Social Media,1
CUST_0104,2024-12-04,5579.55,3,1622.62,2024-10-09,296,Home Goods,Referral,1
CUST_0105,2024-11-23,923.75,1,697.57,2025-05-11,82,Apparel,Email,1
CUST_0106,2024-05-24,4521.64,3,1246.93,2025-02-19,163,Apparel,Email,1
CUST_0107,2024-07-16,5330.39,4,1170.68,2025-05-19,74,Groceries,Email,1
CUST_0108,2024-08-18,6656.31,5,1302.97,2025-06-29,33,Electronics,Email,0
CUST_0109,2024-01-10,8284.19,8,988.36,2024-12-26,218,Apparel,Email,1
CUST_0110,2024-07-02,11348.88,10,1054.67,2025-07-28,4,Books,Referral,0
CUST_0111,2024-04-04,7660.88,4,1599.8,2025-07-05,27,Apparel,Social Media,0
CUST_0112,2024-11-25,2644.43,3,795.92,2024-08-05,361,Home Goods,Paid Ads,1
CUST_0113,2024-04-13,9891.5,9,1038.77,2024-12-14,230,Groceries,Email,1
CUST_0114,2024-11-19,7409.94,6,1201.73,2025-04-13,110,Books,Paid Ads,1
CUST_0115,2024-08-01,3745.16,4,851.38,2025-06-02,60,Groceries,Email,1
CUST_0116,2024-05-28,7794.33,9,792.88,2025-02-06,176,Home Goods,Social Media,1
CUST_0117,2024-08-31,6646.34,6,1022.0,2024-11-05,269,Apparel,Paid Ads,1
CUST_0118,2024-05-07,4480.82,8,549.06,2025-01-02,211,Home Goods,Social Media,1
CUST_0119,2024-12-09,7077.65,8,790.54,2024-12-31,213,Electronics,Referral,1
CUST_0120,2024-12-02,3401.78,3,950.64,2025-06-13,49,Apparel,Email,0
CUST_0121,2024-08-02,7699.41,8,901.11,2024-12-27,217,Electronics,Social Media,1
CUST_0122,2024-10-12,5606.21,4,1349.95,2024-12-10,234,Home Goods,Email,1
CUST_0123,2024-04-22,7492.17,19,377.98,2024-09-12,323,Groceries,Paid Ads,1
CUST_0124,2024-10-14,6027.59,6,911.69,2025-03-08,146,Groceries,Paid Ads,1
CUST_0125,2024-12-14,7444.41,21,347.7,2024-09-21,314,Electronics,Social Media,1
CUST_0126,2024-08-26,6925.58,6,1051.77,2024-09-12,323,Electronics,Social Media,1
CUST_0127,2024-03-18,7499.61,6,1126.1,2025-06-10,52,Home Goods,Social Media,0
CUST_0128,2024-08-10,3793.13,4,922.86,2024-12-24,220,Apparel,Social Media,1
CUST_0129,2024-02-05,7734.74,6,1287.48,2025-07-27,5,Apparel,Social Media,0
CUST_0130,2024-07-13,1886.74,1,1181.8,2024-09-20,315,Home Goods,Email,1
CUST_0131,2024-12-20,6943.65,7,990.71,2025-07-15,17,Apparel,Email,0
CUST_0132,2024-01-09,9310.48,7,1201.68,2024-09-30,305,Home Goods,Email,1
CUST_0133,2024-06-02,2423.11,2,1030.25,2025-03-20,134,Books,Email,1
CUST_0134,2024-02-11,1740.81,1,1165.56,2025-01-01,212,Apparel,Referral,1
CUST_0135,2024-04-26,8241.07,5,1471.15,2025-07-25,7,Home Goods,Paid Ads,0
CUST_0136,2024-07-08,3750.36,3,1007.83,2024-11-22,252,Electronics,Referral,1
CUST_0137,2024-10-08,6648.83,6,962.62,2024-10-14,291,Home Goods,Email,1
